animalid,status,exotic,sexp,cage,fsummer2,.fgspr,dzkid
294,0,Exotic,Female,7-8 years,Fresh fern,0,5
295,1,Local,Female,6 years,Fresh fern,3,5
296,0,Local,Female,7-8 years,Fresh fern,3,5
297,0,Local,Female,9+years,Fresh fern,3,5
298,1,Local,Female,9+years,Fresh fern,3,5
299,0,Local,Male,3-5 years,Not housed,3,12
300,1,Local,Female,3-5 years,Not housed,3,12
301,0,Local,Female,6 years,Not housed,3,12
302,0,Local,Female,3-5 years,Not housed,0,12
303,1,Local,Female,3-5 years,Not housed,3,12
304,0,Local,Female,3-5 years,Not housed,3,12
305,1,Exotic,Female,3-5 years,No fern,2,12
306,0,Exotic,Female,7-8 years,No fern,3,12
307,0,Exotic,Female,6 years,No fern,2,12
308,0,Local,Female,9+years,No fern,2,3
309,0,Local,Female,9+years,Not housed,2,3
310,1,Local,Female,7-8 years,No fern,2,3
311,1,Exotic,Female,7-8 years,Fresh fern,1,18
312,0,Exotic,Female,6 years,Dry fern,0,18
313,0,Local,Female,7-8 years,Not housed,2,18
314,1,Local,Female,9+years,Not housed,3,7
315,0,Exotic,Female,9+years,Fresh fern,0,7
316,0,Exotic,Female,9+years,Fresh fern,0,7
317,1,Local,Female,9+years,Dry fern,0,7
318,0,Exotic,Male,9+years,Dry fern,0,7
319,0,Local,Female,6 years,Not housed,3,7
320,1,Exotic,Male,9+years,Not housed,0,7
321,0,Local,Female,7-8 years,Not housed,3,7
322,1,Exotic,Male,7-8 years,Not housed,3,7
323,0,Exotic,Female,3-5 years,Not housed,3,7
325,0,Local,Female,7-8 years,Not housed,3,7
326,0,Exotic,Female,6 years,Not housed,3,7
327,1,Local,Male,9+years,Not housed,0,7
328,1,NA,Male,9+years,Not housed,3,7
329,0,Exotic,Female,6 years,Fresh fern,0,7
330,0,Local,Female,7-8 years,Not housed,3,7
331,1,Exotic,Male,9+years,Not housed,3,7
332,0,Exotic,Female,7-8 years,Dry fern,0,7
333,0,Exotic,Male,3-5 years,Dry fern,0,7
334,0,Exotic,Female,3-5 years,Not housed,0,7
335,1,Exotic,Male,9+years,Not housed,0,7
336,1,Local,Male,3-5 years,Dry fern,3,12
337,0,Exotic,Female,6 years,No fern,0,12
338,0,Exotic,Female,3-5 years,No fern,0,12
339,0,Local,Female,9+years,Fresh fern,3,16
340,1,Local,Female,3-5 years,Dry fern,3,16
341,0,Local,Female,7-8 years,Not housed,3,16
342,1,Exotic,Male,3-5 years,Not housed,3,3
343,0,Exotic,Female,7-8 years,Not housed,3,3
344,0,Exotic,Male,3-5 years,Not housed,3,3
345,1,Local,Female,9+years,No fern,3,13
346,0,Local,Female,3-5 years,No fern,3,13
347,0,Exotic,Female,7-8 years,No fern,3,13
348,0,Exotic,Male,9+years,No fern,3,17
349,0,Local,Male,9+years,No fern,3,17
350,1,Local,Female,6 years,No fern,3,17
351,0,Exotic,Female,9+years,Not housed,3,7
352,1,Exotic,Female,9+years,Not housed,3,7
353,0,Exotic,Female,9+years,Not housed,3,7
354,0,Local,Female,3-5 years,Not housed,0,7
355,0,Local,Female,3-5 years,Not housed,3,7
356,1,Local,Female,7-8 years,Not housed,0,7
357,1,Exotic,Female,3-5 years,Fresh fern,3,7
358,0,Local,Female,3-5 years,NA,3,7
359,0,Local,Female,7-8 years,Not housed,3,7
360,0,Local,Female,9+years,Not housed,3,7
361,1,Exotic,Female,9+years,Dry fern,3,7
362,0,Local,Female,7-8 years,Not housed,3,7
363,0,Local,Female,7-8 years,Fresh fern,1,12
364,0,Local,Female,3-5 years,Fresh fern,1,12
365,1,Local,Male,3-5 years,Not housed,3,12
366,0,Local,Female,6 years,Fresh fern,0,12
367,1,Local,Female,7-8 years,Not housed,3,12
368,0,Local,Female,3-5 years,Not housed,3,12
369,1,Local,Female,7-8 years,Fresh fern,0,12
370,0,Local,Female,3-5 years,Fresh fern,0,12
371,0,Local,Female,9+years,Not housed,3,12
372,0,Exotic,Male,3-5 years,Dry fern,0,7
373,1,Local,Female,9+years,Fresh fern,0,7
374,0,Local,Female,7-8 years,Dry fern,0,7
375,1,Exotic,Female,9+years,Fresh fern,0,7
376,0,Local,Female,6 years,Fresh fern,0,7
377,0,Local,Female,7-8 years,Fresh fern,0,7
378,1,Exotic,Female,9+years,No fern,0,15
379,0,Local,Female,3-5 years,No fern,0,15
380,0,Local,Female,6 years,Not housed,1,15
381,1,Local,Female,6 years,Not housed,3,2
382,0,Exotic,Female,3-5 years,Not housed,0,2
383,0,Exotic,Female,3-5 years,Not housed,3,2
384,1,Local,Female,7-8 years,Not housed,3,2
385,0,Local,Female,3-5 years,Not housed,3,2
386,0,Local,Female,3-5 years,Not housed,3,2
387,0,Local,Female,3-5 years,Not housed,3,2
388,0,Local,Female,3-5 years,Not housed,3,2
389,1,Local,Female,3-5 years,Not housed,3,2
390,0,Local,Female,6 years,Not housed,3,2
391,1,Local,Female,7-8 years,Not housed,3,2
392,0,Local,Female,3-5 years,Not housed,3,2
393,0,Local,Female,6 years,Not housed,3,2
394,1,Local,Female,7-8 years,Not housed,3,2
395,0,Local,Female,3-5 years,Not housed,3,2
396,0,Local,Male,3-5 years,Not housed,3,2
397,0,Local,Female,3-5 years,Not housed,3,2
398,1,Local,Female,3-5 years,Not housed,3,2
399,0,Exotic,Female,3-5 years,Fresh fern,0,2
400,1,Exotic,Female,9+years,Fresh fern,3,2
401,0,Exotic,Female,7-8 years,Fresh fern,0,2
402,0,Local,Female,3-5 years,Not housed,3,2
403,1,Local,Female,7-8 years,Not housed,3,2
404,0,Local,Female,3-5 years,Not housed,3,2
405,0,Local,Male,3-5 years,Not housed,3,2
406,0,Local,Female,7-8 years,Not housed,1,2
407,1,Local,Female,3-5 years,Not housed,3,2
408,0,Local,Male,3-5 years,Not housed,3,2
409,1,Local,Female,6 years,Not housed,3,2
410,0,Local,Male,3-5 years,Not housed,3,2
411,1,Local,Female,7-8 years,No fern,3,12
412,0,Local,Female,6 years,No fern,3,12
413,0,Exotic,Male,7-8 years,No fern,3,12
414,1,Local,Female,7-8 years,No fern,3,12
415,0,Local,Male,9+years,No fern,0,12
416,0,Exotic,Female,7-8 years,No fern,0,12
417,0,Local,Female,7-8 years,No fern,3,12
418,0,Exotic,Female,3-5 years,No fern,3,12
419,1,Local,Female,7-8 years,No fern,3,12
420,0,Local,Female,3-5 years,No fern,3,12
421,0,Local,Female,3-5 years,No fern,3,12
422,1,Local,Female,7-8 years,No fern,3,12
423,1,Exotic,Female,6 years,No fern,3,12
424,0,Exotic,Female,7-8 years,No fern,3,12
425,0,Local,Male,7-8 years,No fern,3,12
426,0,Local,Male,3-5 years,No fern,3,12
427,0,Local,Female,7-8 years,No fern,3,12
428,1,Local,Female,7-8 years,No fern,3,12
429,1,Local,Female,3-5 years,Dry fern,3,19
431,0,Local,Male,3-5 years,No fern,3,19
432,0,Local,Male,3-5 years,Not housed,3,2
433,0,Local,Female,3-5 years,Fresh fern,3,2
434,1,Local,Female,6 years,Dry fern,3,2
435,0,Local,Male,3-5 years,Dry fern,3,2
436,0,Local,Male,3-5 years,Fresh fern,2,2
437,1,Local,Female,6 years,Fresh fern,3,2
438,1,Exotic,Female,3-5 years,No fern,0,10
439,0,Exotic,Female,3-5 years,No fern,0,10
440,0,Exotic,Female,6 years,No fern,0,10
441,0,Exotic,Male,3-5 years,Dry fern,0,10
442,1,Exotic,Female,6 years,Fresh fern,0,10
443,0,Local,Female,6 years,No fern,0,10
444,1,Exotic,Female,9+years,No fern,0,10
445,0,Local,Male,3-5 years,No fern,0,10
446,0,Local,Female,7-8 years,Not housed,3,10
447,1,Local,Female,3-5 years,Fresh fern,0,10
448,0,Local,Male,3-5 years,Dry fern,3,10
449,0,Local,Male,3-5 years,Dry fern,3,10
450,0,Local,Female,3-5 years,Fresh fern,0,10
451,0,Exotic,Female,3-5 years,Dry fern,3,10
452,0,Local,Female,6 years,Fresh fern,2,10
453,1,Local,Male,3-5 years,Fresh fern,0,10
454,0,Local,Female,3-5 years,Fresh fern,0,10
455,0,Local,Male,3-5 years,Dry fern,0,10
456,0,Local,Female,3-5 years,Dry fern,3,10
457,1,Exotic,Female,3-5 years,No fern,0,10
458,0,Exotic,Male,3-5 years,No fern,0,10
459,0,Local,Female,3-5 years,No fern,0,10
460,1,Exotic,Female,7-8 years,Not housed,3,2
461,0,Exotic,Male,3-5 years,Not housed,3,2
462,0,Local,Female,7-8 years,Not housed,3,2
463,0,Local,Female,3-5 years,Not housed,3,2
464,0,Local,Female,3-5 years,Not housed,3,2
465,1,Local,Female,3-5 years,Not housed,3,2
466,1,Local,Female,3-5 years,Not housed,3,2
467,0,Local,Female,3-5 years,No fern,3,2
468,0,Local,Female,3-5 years,Not housed,3,2
469,1,Local,Female,6 years,Dry fern,0,6
470,0,Local,Male,3-5 years,No fern,0,6
471,0,Exotic,Male,3-5 years,Fresh fern,0,6
472,0,Local,Female,7-8 years,Fresh fern,3,6
473,0,Local,Male,6 years,Dry fern,3,6
474,1,Exotic,Male,3-5 years,Fresh fern,3,6
475,1,Local,Female,9+years,Dry fern,3,6
476,0,Local,Male,3-5 years,Fresh fern,3,6
477,0,Local,Female,6 years,Fresh fern,3,6
478,0,Local,Male,6 years,Fresh fern,1,6
